detail_link,thumbnail,title,field,institution,satisfaction,language
https://www.kmooc.kr/view/course/detail/14063,https://lms.kmooc.kr/pluginfile.php/3281622/course/overviewfiles/%EC%82%AC%EB%9E%8C%EC%A4%91%EC%8B%AC%20%EA%B0%80%EC%B9%98%EC%8B%A4%ED%98%84%EC%9D%84%20%EC%9C%84%ED%95%9C%20%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5_24-2.png,사람중심 가치실현을 위한 인공지능,공학 (컴퓨터 · 통신),한양대학교,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/14062,https://lms.kmooc.kr/pluginfile.php/3281192/course/overviewfiles/%EC%B9%B4%EB%93%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.jpg,데이터 분석 기초,공학 (컴퓨터 · 통신),한국연구재단 산업교육센터,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/14257,https://lms.kmooc.kr/pluginfile.php/3328227/course/overviewfiles/04.%EC%BB%B4%ED%93%A8%ED%84%B0%EB%A1%9C-%EC%97%AC%EB%8A%94-%EB%AF%B8%EB%9E%98%EC%82%AC%ED%9A%8C_%EC%8D%B8%EB%84%A4%EC%9D%BC.jpg,컴퓨터로 여는 미래사회,공학 (컴퓨터 · 통신),한국방송통신대학교,4.6,한국어(ko)
https://www.kmooc.kr/view/course/detail/13239,https://lms.kmooc.kr/pluginfile.php/3150703/course/overviewfiles/018.png,인문·사회계열 전공생을 위한 Python 입문,공학 (컴퓨터 · 통신),성신여자대학교,4.1,한국어(ko)
https://www.kmooc.kr/view/course/detail/13493,https://lms.kmooc.kr/pluginfile.php/3207554/course/overviewfiles/%EB%8D%B0%EC%9D%B4%ED%84%B0%EA%B3%BC%ED%95%99%EA%B3%BC%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5.jpg,데이터과학과 인공지능,공학 (컴퓨터 · 통신),고려대학교,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/14016,https://lms.kmooc.kr/pluginfile.php/3276111/course/overviewfiles/%5B%ED%81%AC%EA%B8%B0%EB%B3%80%ED%99%98%5D24-2%28%EC%86%8C%ED%94%84%ED%8A%B8%EC%9B%A8%EC%96%B4%EC%99%80%20%EC%B0%BD%EC%9D%98%EC%A0%81%EC%82%AC%EA%B3%A0%29.JPG,소프트웨어와 창의적사고,공학 (컴퓨터 · 통신),서울여자대학교,3.6,한국어(ko)
https://www.kmooc.kr/view/course/detail/13214,https://lms.kmooc.kr/pluginfile.php/3138933/course/overviewfiles/002.png,SW&AI 전공 진입을 위한 수학,공학 (컴퓨터 · 통신),성신여자대학교,4.2,한국어(ko)
https://www.kmooc.kr/view/course/detail/13234,https://lms.kmooc.kr/pluginfile.php/3146821/course/overviewfiles/009.png,실사례를 통한 머신러닝 알고리즘 구현 실습,공학 (컴퓨터 · 통신),성신여자대학교,3.9,한국어(ko)
https://www.kmooc.kr/view/course/detail/14185,https://lms.kmooc.kr/pluginfile.php/3300521/course/overviewfiles/%EC%8D%B8%EB%82%B4%EC%9D%BC.jpg,누구나 할 수 있는 인공지능 데이터 분석,공학 (컴퓨터 · 통신),한국연구재단 산업교육센터,0.0,한국어(ko)
https://www.kmooc.kr/view/course/detail/12285,https://lms.kmooc.kr/pluginfile.php/3000984/course/overviewfiles/%EB%94%A5%EB%9F%AC%EB%8B%9D_%EC%B9%B4%EB%93%9C%EC%9D%B4%EB%AF%B8%EC%A7%80.png,딥러닝기초,공학 (컴퓨터 · 통신),한국연구재단 산업교육센터,0.0,한국어(ko)
